Hour,Fatal_Pct,Non_Fatal_Pct,Fatal,Non_Fatal
0,2.8527957398250288,2.058735593927872,150,7299
1,2.586534804108026,1.7151899091211662,136,6081
2,2.2441993153290225,1.383772684451314,118,4906
3,2.225180677063522,1.2173589290851756,117,4316
4,1.8257892734880183,1.0433296289819427,96,3699
5,3.3092430581970333,1.2399235060839742,174,4396
6,3.9748953974895396,2.4304869999830765,209,8617
7,3.081019399011031,3.8929536467176997,162,13802
8,3.2712057816660325,4.346219587181064,172,15409
9,3.556485355648536,4.661841607951757,187,16528
10,3.6325599087105367,5.319316970254246,191,18859
11,4.2601749714720425,5.877226136549537,224,20837
12,4.7356409281095475,6.230643823793218,249,22090
13,4.7736782046405475,6.814502253637128,251,24160
14,4.868771395968049,6.693499709481071,256,23731
15,5.306200076074553,6.673755704607122,279,23661
16,5.496386458729555,6.648652612695958,289,23572
17,7.151007987828072,6.399314036859237,376,22688
18,6.903765690376569,5.872149106724808,363,20819
19,5.914796500570559,5.211571115084984,311,18477
20,5.933815138836059,4.501915168472773,312,15961
21,4.830734119437048,3.8926715895052153,254,13801
22,4.2031190566755425,3.3446344256468983,221,11858
23,3.0620007607455304,2.5303352532027596,161,8971
